epoch,accuracy,loss,val_accuracy,val_loss
0,0.4713534414768219,1.1947767734527588,0.47262248396873474,1.3955579996109009
1,0.6266260743141174,0.8911343216896057,0.559077799320221,1.122493028640747
2,0.7204539179801941,0.712734043598175,0.5533141493797302,1.1367464065551758
3,0.7647384405136108,0.597748875617981,0.5648415088653564,1.2186131477355957
4,0.8106836676597595,0.48757418990135193,0.5677233338356018,1.226320505142212
5,0.848602294921875,0.400375634431839,0.5561959743499756,1.3516179323196411
6,0.8668696284294128,0.3670671880245209,0.5533141493797302,1.6395034790039062
7,0.9053418040275574,0.26557815074920654,0.5734870433807373,1.5783579349517822
8,0.922778844833374,0.224458247423172,0.5561959743499756,1.6917835474014282
9,0.9308054447174072,0.2056025266647339,0.5706051588058472,1.887533187866211
10,0.9346803426742554,0.17876893281936646,0.5763688683509827,1.9044392108917236
11,0.948519229888916,0.1445714235305786,0.5619596838951111,2.0618510246276855
12,0.9529476761817932,0.13465367257595062,0.5504322648048401,2.192403793334961
13,0.9576529264450073,0.13150522112846375,0.559077799320221,2.093632221221924
14,0.9593135714530945,0.12496109306812286,0.559077799320221,2.2582056522369385
15,0.9543315768241882,0.13299599289894104,0.5850144028663635,2.3377225399017334
16,0.9587600231170654,0.1252279281616211,0.5706051588058472,2.3177218437194824
17,0.9593135714530945,0.117476686835289,0.5561959743499756,2.437469959259033
18,0.9645723700523376,0.09544984251260757,0.5763688683509827,2.4299991130828857
19,0.9626349210739136,0.10206020623445511,0.5936599373817444,2.4794535636901855
20,0.9629117250442505,0.10441216081380844,0.5533141493797302,3.023810863494873
21,0.9631884694099426,0.10709463804960251,0.5821325778961182,2.6678619384765625
22,0.9725989699363708,0.0719514787197113,0.5619596838951111,2.516517400741577
23,0.975089967250824,0.07073970139026642,0.5619596838951111,2.682512044906616
24,0.9781345129013062,0.06754353642463684,0.5504322648048401,2.7364959716796875
