epoch,accuracy,loss,val_accuracy,val_loss
0,0.3534458875656128,1.3335691690444946,0.40345820784568787,1.2974294424057007
1,0.6371436715126038,1.004164695739746,0.651296854019165,0.9250658750534058
2,0.795737624168396,0.5801429152488708,0.6974063515663147,0.7957751154899597
3,0.84721839427948,0.417729914188385,0.7002881765365601,0.7763749957084656
4,0.8829227685928345,0.3257638216018677,0.7031700015068054,0.84600830078125
5,0.9083864092826843,0.2684388756752014,0.6858789920806885,0.8990261554718018
6,0.9258233904838562,0.22143781185150146,0.6714697480201721,0.9456263184547424
7,0.9391087889671326,0.18953993916511536,0.680115282535553,1.0122499465942383
8,0.9518405795097351,0.15855011343955994,0.6887608170509338,1.1035170555114746
9,0.9584832787513733,0.13616687059402466,0.6887608170509338,1.1465157270431519
10,0.9662330746650696,0.12511985003948212,0.7002881765365601,1.170248031616211
11,0.9648491740226746,0.11236224323511124,0.6858789920806885,1.205643653869629
12,0.9690008163452148,0.099715456366539,0.680115282535553,1.2987539768218994
13,0.9706615209579468,0.09540662169456482,0.6628242135047913,1.3327016830444336
14,0.972875714302063,0.09475553780794144,0.6599423885345459,1.4103525876998901
15,0.9753667116165161,0.0814099833369255,0.6974063515663147,1.422019362449646
16,0.9725989699363708,0.08239076286554337,0.680115282535553,1.4450031518936157
17,0.9753667116165161,0.07168014347553253,0.6714697480201721,1.5712127685546875
18,0.976473867893219,0.07557223737239838,0.6714697480201721,1.593364953994751
19,0.9786880612373352,0.07299192994832993,0.6887608170509338,1.6186071634292603
20,0.9773041605949402,0.06943505257368088,0.6887608170509338,1.5992475748062134
21,0.9767506122589111,0.07195772975683212,0.680115282535553,1.6381431818008423
22,0.9745364189147949,0.0693470686674118,0.6772334575653076,1.6351603269577026
23,0.977027416229248,0.06321390718221664,0.6945244669914246,1.7196204662322998
24,0.9786880612373352,0.061637409031391144,0.6714697480201721,1.7431563138961792
